gene_a	gene_b	label
11116	23953	1
10023	4113	1
38126	10553	1
27760	7747	0
16832	5804	0
38757	40944	0
48753	46864	0
5681	33595	1
24055	16844	1
29877	35466	0
47881	40014	1
2626	51719	1
8626	13935	0
33430	11910	1
34023	15898	1
18162	3032	0
28074	34023	1
13293	5410	0
53953	20252	1
1788	28478	1
23062	10723	1
44028	3357	0
38126	1454	1
8796	5623	1
44865	53953	1
42908	3368	1
21187	10164	1
23589	42131	0
16696	33913	0
8431	1363	0
16047	42234	0
20631	23053	1
13451	50823	0
1444	18470	1
44158	39043	1
41311	11149	0
35242	24669	1
18337	8031	0
44216	26148	0
7707	1291	1
4778	134	1
17560	5079	0
4561	19179	1
10139	39697	0
9774	8363	0
25999	41380	0
6804	32317	1
29399	19034	1
18016	13556	0
51585	42957	0
47423	35114	0
27351	7965	1
62	38430	0
851	17963	1
23117	36707	1
6453	48810	0
36251	20831	0
15938	33733	0
5188	27922	0
50	17484	0
9809	17598	1
28691	9645	0
34023	53068	1
50476	44701	0
3765	2125	0
11508	39503	0
31558	9966	0
4010	7245	1
32296	2645	1
50175	24689	0
40800	48777	0
30310	46784	1
15919	34630	0
2076	14599	0
37306	1043	0
31979	24231	0
5897	38126	1
2	12946	0
48307	20229	0
39999	11769	0
25003	18810	0
42114	32455	1
38919	26282	1
23053	392	1
46322	10220	1
52554	753	0
7800	52477	1
9354	3361	0
40540	3355	1
35850	29586	1
15433	26677	0
41649	48261	0
34318	43502	0
4323	4095	1
34351	41262	1
17523	27791	1
24119	4189	1
20725	18912	0
12879	37890	0
43903	1388	1
36987	20682	0
6965	48312	1
50929	43304	0
34799	40256	0
10131	36766	0
42548	25354	0
24971	49348	0
16245	4834	0
41890	52633	1
31826	21903	0
13829	40553	1
32317	50885	1
2942	30825	1
1261	7399	0
12603	10723	1
31932	52516	1
12240	36392	0
16844	27338	1
47517	9900	0
4154	731	0
836	41605	0
24784	19790	0
44966	43759	0
41503	13062	1
8431	15740	0
13232	49633	1
38802	34023	1
20877	27911	0
35985	29352	1
30924	51328	1
29388	10374	0
16919	450	0
30825	42967	1
28478	53215	1
42029	23374	0
1885	53028	1
33470	30553	0
12656	13733	1
24677	16654	1
16183	21102	1
5427	39727	0
35143	30122	1
20509	32628	1
31990	43729	1
33273	49011	0
11570	40617	1
28102	325	1
29132	46682	1
3005	38104	1
18810	7297	1
27526	48856	0
46551	19034	1
46410	14974	1
23053	21613	1
11501	7453	1
6804	3355	1
31085	14529	0
31683	9758	0
41503	42880	0
41329	32557	0
6478	24450	0
45647	50949	0
53953	41098	1
3722	37876	1
37084	33497	1
36560	2149	0
1019	18369	1
10220	49128	1
20139	35644	0
48899	19245	0
50760	6395	1
45171	16844	1
35314	25256	0
25251	46	0
16903	746	1
13788	49001	0
37156	46816	1
4810	34790	0
15556	29225	0
49054	24157	0
42024	49633	0
52087	3165	1
11964	24520	0
16213	7932	0
38064	30869	0
28478	46424	1
35265	21080	0
18830	28412	0
134	52335	1
1865	48244	0
22828	30333	1
13503	28478	1
44847	33430	1
30577	4172	0
1113	42265	1
37500	42794	0
6826	3895	0
6063	34756	1
27352	28269	0
34653	48403	0
2645	50820	1
24703	40108	0
49200	9077	1
10023	22971	0
20385	50561	0
28478	12083	1
42967	25508	0
34023	16250	1
34584	7965	0
36916	18201	1
49427	26320	0
9118	14021	0
30825	40662	1
16701	43936	0
11290	29546	1
17182	17020	0
50528	25728	0
11538	51539	1
19551	8531	0
45707	13019	0
43022	28508	1
39043	2260	1
14490	11226	0
49266	16654	1
29482	21043	0
47527	46577	1
40860	34023	1
16844	9704	1
44970	9405	1
43848	31413	0
45559	25150	0
325	53017	1
35565	40380	0
42191	22854	0
616	53982	0
53152	19786	1
33209	27381	0
23117	40340	1
43746	23802	1
53087	8372	0
34023	358	1
51313	29358	0
50498	30230	0
19301	26495	0
28504	24860	0
53953	32460	1
7866	22700	0
27929	8031	0
41374	24850	1
48852	10272	0
44586	23885	0
16654	15251	1
6840	29376	0
53870	16774	1
19034	31554	1
15541	3231	0
1145	18295	1
40496	50528	0
45852	39043	1
27350	16774	1
50805	52919	1
29272	30924	1
16041	53870	1
40632	27708	0
47617	45995	1
3357	12513	0
44682	52753	0
27175	3203	0
31991	18444	0
1587	26391	0
15438	15740	1
41252	20978	0
14059	18954	0
28177	47979	1
50536	48709	0
4113	2627	1
27113	35323	0
48369	49686	0
2365	18664	0
37863	16501	1
42908	7617	1
3075	29586	0
8984	26692	1
48312	45321	1
29868	45899	0
36892	15942	0
31290	33936	1
1395	31642	0
15244	16499	0
52855	38787	0
7076	23479	1
49483	48566	1
53953	19741	1
33595	22410	1
34315	51637	1
2055	38276	0
27819	19034	1
11302	44930	1
17378	25387	0
28259	19020	0
18488	33177	0
5539	34023	1
1177	37119	0
7677	28478	1
38126	19193	1
20631	13062	1
16844	22678	1
10800	44970	0
6914	13650	1
7683	42681	1
43345	840	0
33831	20042	1
13318	702	1
4354	26431	0
21144	1113	0
47578	49498	0
26416	30510	0
4113	23321	1
21597	43058	0
42707	41033	0
20400	36464	0
38582	40690	1
10800	6085	1
48312	51177	1
35985	33473	1
15478	35189	0
42474	21102	1
5294	18376	0
10723	16664	1
28615	24597	0
12517	33430	1
44201	28478	1
14864	18907	0
18299	42814	1
14346	22478	0
35783	51495	1
15451	677	0
23509	48172	0
12562	3994	0
39043	53852	1
6155	42161	0
14957	21818	1
9601	48303	0
26356	4186	0
41430	28494	0
14473	28412	0
35617	28478	1
47265	24461	1
16369	49067	1
